id,addr_state,annual_inc,home_ownership,tax_liens,int_rate,term,loan_amnt,loan_status,next_pymnt_d,zip_code,application_type,issue_d,purpose
0,VA,78000.0,RENT,0.0,12.39,60.0,15000.0,Fully Paid,,235xx,Individual,Dec-2014,debt_consolidation
1,CA,58000.0,MORTGAGE,0.0,6.99,36.0,10400.0,Charged Off,,937xx,Individual,Dec-2014,credit_card
2,MO,63800.0,RENT,0.0,15.59,60.0,21425.0,Fully Paid,,658xx,Individual,Dec-2014,credit_card
3,CA,125000.0,MORTGAGE,0.0,17.14,60.0,12800.0,Current,Jan-2018,953xx,Individual,Dec-2014,car
4,AZ,50000.0,RENT,0.0,13.66,36.0,7650.0,Charged Off,,850xx,Individual,Dec-2014,debt_consolidation
5,NJ,69000.0,RENT,0.0,13.66,36.0,9600.0,Fully Paid,,077xx,Individual,Dec-2014,debt_consolidation
6,MN,89000.0,MORTGAGE,0.0,11.99,36.0,2500.0,Fully Paid,,554xx,Individual,Dec-2014,home_improvement
7,VA,109777.0,OWN,0.0,11.44,60.0,16000.0,Fully Paid,,201xx,Individual,Dec-2014,debt_consolidation
8,WA,72000.0,RENT,0.0,14.31,36.0,23325.0,Charged Off,,982xx,Individual,Dec-2014,credit_card
9,MD,26000.0,RENT,0.0,11.44,36.0,5250.0,Fully Paid,,208xx,Individual,Dec-2014,debt_consolidation
10,MI,90000.0,RENT,0.0,11.99,36.0,10000.0,Charged Off,,483xx,Individual,Dec-2014,debt_consolidation
11,FL,60000.0,RENT,0.0,17.86,36.0,12975.0,Charged Off,,331xx,Individual,Dec-2014,house
12,NY,75000.0,MORTGAGE,0.0,13.66,36.0,17000.0,Fully Paid,,144xx,Individual,Dec-2014,debt_consolidation
13,IL,55000.0,MORTGAGE,0.0,21.99,60.0,21075.0,Current,Jan-2018,606xx,Individual,Dec-2014,debt_consolidation
14,KY,120000.0,MORTGAGE,0.0,10.49,36.0,6000.0,Fully Paid,,403xx,Individual,Dec-2014,home_improvement
15,NY,32200.0,RENT,0.0,14.99,36.0,2000.0,Fully Paid,,112xx,Individual,Dec-2014,credit_card
16,CA,60000.0,RENT,0.0,10.49,36.0,3000.0,Fully Paid,,926xx,Individual,Dec-2014,medical
17,AZ,37000.0,RENT,0.0,15.99,36.0,2000.0,Fully Paid,,852xx,Individual,Dec-2014,other
18,FL,52000.0,RENT,0.0,14.31,36.0,2000.0,Fully Paid,,329xx,Individual,Dec-2014,other
19,GA,40000.0,OWN,0.0,19.99,60.0,13550.0,Current,Jan-2018,304xx,Individual,Dec-2014,debt_consolidation
20,TX,84000.0,MORTGAGE,0.0,12.39,36.0,7200.0,Current,Jan-2018,760xx,Individual,Dec-2014,debt_consolidation
21,TX,42000.0,OWN,0.0,10.49,36.0,14000.0,Current,Jan-2018,754xx,Individual,Dec-2014,credit_card
22,MN,60000.0,OWN,0.0,12.39,36.0,1000.0,Fully Paid,,567xx,Individual,Dec-2014,other
23,CA,20000.0,RENT,0.0,14.99,36.0,6000.0,Fully Paid,,960xx,Individual,Dec-2014,debt_consolidation
24,FL,70000.0,OWN,0.0,11.99,36.0,18000.0,Fully Paid,,333xx,Individual,Dec-2014,debt_consolidation
25,IN,21312.0,RENT,0.0,12.99,36.0,2000.0,Fully Paid,,463xx,Individual,Dec-2014,medical
26,IN,42000.0,MORTGAGE,0.0,9.49,36.0,10800.0,Fully Paid,,467xx,Individual,Dec-2014,debt_consolidation
27,CO,108000.0,MORTGAGE,0.0,14.31,36.0,18450.0,Charged Off,,810xx,Individual,Dec-2014,home_improvement
28,FL,67000.0,MORTGAGE,0.0,10.49,60.0,28000.0,Fully Paid,,336xx,Individual,Dec-2014,debt_consolidation
29,NY,50000.0,RENT,0.0,15.99,36.0,4000.0,Fully Paid,,114xx,Individual,Dec-2014,debt_consolidation
30,TX,48000.0,MORTGAGE,0.0,20.99,60.0,15000.0,Current,Jan-2018,770xx,Individual,Dec-2014,other
31,AZ,52000.0,MORTGAGE,0.0,10.49,36.0,5000.0,Charged Off,,853xx,Individual,Dec-2014,debt_consolidation
32,IL,42000.0,MORTGAGE,0.0,7.49,36.0,9600.0,Fully Paid,,629xx,Individual,Dec-2014,debt_consolidation
33,NC,75000.0,MORTGAGE,0.0,16.49,36.0,3625.0,Fully Paid,,273xx,Individual,Dec-2014,debt_consolidation
34,AL,84000.0,MORTGAGE,0.0,10.49,36.0,15000.0,Fully Paid,,363xx,Individual,Dec-2014,credit_card
35,LA,31240.0,RENT,0.0,19.99,36.0,11175.0,Current,Jan-2018,704xx,Individual,Dec-2014,debt_consolidation
36,CA,120000.0,OWN,0.0,8.67,36.0,21000.0,Fully Paid,,958xx,Individual,Dec-2014,debt_consolidation
37,CT,70000.0,RENT,0.0,12.39,36.0,8000.0,Fully Paid,,064xx,Individual,Dec-2014,debt_consolidation
38,NJ,65000.0,MORTGAGE,0.0,9.49,60.0,17600.0,Fully Paid,,077xx,Individual,Dec-2014,credit_card
39,CT,90000.0,OWN,0.0,15.59,60.0,28000.0,Current,Jan-2018,060xx,Individual,Dec-2014,debt_consolidation
40,MS,60000.0,MORTGAGE,0.0,12.99,36.0,11000.0,Current,Jan-2018,395xx,Individual,Dec-2014,debt_consolidation
41,CO,50000.0,RENT,0.0,12.39,36.0,5675.0,Fully Paid,,802xx,Individual,Dec-2014,car
42,FL,19000.0,RENT,0.0,15.99,36.0,6825.0,Fully Paid,,328xx,Individual,Dec-2014,debt_consolidation
43,CA,54797.0,RENT,0.0,13.66,36.0,5000.0,Current,Jan-2018,925xx,Individual,Dec-2014,moving
44,GA,53800.0,RENT,0.0,14.31,36.0,1500.0,Current,Jan-2018,303xx,Individual,Dec-2014,debt_consolidation
45,NC,84000.0,MORTGAGE,0.0,14.31,60.0,20000.0,Current,Jan-2018,277xx,Individual,Dec-2014,debt_consolidation
46,KS,85000.0,MORTGAGE,0.0,8.19,36.0,3000.0,Fully Paid,,670xx,Individual,Dec-2014,debt_consolidation
47,AL,94000.0,MORTGAGE,0.0,10.49,36.0,8000.0,Fully Paid,,358xx,Individual,Dec-2014,debt_consolidation
48,AZ,40000.0,RENT,0.0,11.99,60.0,15000.0,Current,Jan-2018,853xx,Individual,Dec-2014,debt_consolidation
49,TX,157000.0,OWN,0.0,9.49,60.0,14000.0,Fully Paid,,770xx,Individual,Dec-2014,debt_consolidation
50,NY,95000.0,RENT,0.0,12.99,36.0,5000.0,Fully Paid,,130xx,Individual,Dec-2014,house
51,FL,40000.0,RENT,0.0,17.14,60.0,16000.0,Current,Jan-2018,327xx,Individual,Dec-2014,debt_consolidation
52,MN,55000.0,MORTGAGE,0.0,6.99,36.0,4200.0,Fully Paid,,560xx,Individual,Dec-2014,debt_consolidation
53,FL,45000.0,RENT,0.0,16.49,36.0,14000.0,Charged Off,,331xx,Individual,Dec-2014,credit_card
54,NC,35000.0,OWN,1.0,14.31,36.0,2400.0,Fully Paid,,283xx,Individual,Dec-2014,other
55,PA,45000.0,OWN,0.0,11.44,36.0,18000.0,Fully Paid,,196xx,Individual,Dec-2014,credit_card
56,OH,45000.0,MORTGAGE,0.0,11.99,36.0,1000.0,Current,Jan-2018,452xx,Individual,Dec-2014,other
57,FL,80000.0,MORTGAGE,0.0,11.44,36.0,24000.0,Fully Paid,,324xx,Individual,Dec-2014,credit_card
58,UT,60000.0,RENT,0.0,17.86,60.0,12000.0,Fully Paid,,841xx,Individual,Dec-2014,debt_consolidation
59,GA,100000.0,MORTGAGE,0.0,11.99,36.0,20000.0,Fully Paid,,300xx,Individual,Dec-2014,credit_card
60,AR,46800.0,MORTGAGE,0.0,12.39,60.0,20975.0,Current,Jan-2018,728xx,Individual,Dec-2014,home_improvement
61,MD,34000.0,OWN,0.0,14.99,36.0,4500.0,Charged Off,,210xx,Individual,Dec-2014,major_purchase
62,IL,133995.0,OWN,0.0,12.39,60.0,32800.0,Current,Jan-2018,600xx,Individual,Dec-2014,credit_card
63,NJ,32000.0,RENT,0.0,14.99,36.0,5000.0,Fully Paid,,076xx,Individual,Dec-2014,debt_consolidation
64,AL,60400.0,OWN,0.0,14.99,60.0,10975.0,Charged Off,,368xx,Individual,Dec-2014,debt_consolidation
65,KY,75000.0,MORTGAGE,0.0,14.99,36.0,10000.0,Fully Paid,,402xx,Individual,Dec-2014,credit_card
66,HI,81200.0,MORTGAGE,0.0,21.99,36.0,8750.0,Fully Paid,,967xx,Individual,Dec-2014,moving
67,MO,32000.0,RENT,0.0,16.49,36.0,9000.0,Current,Jan-2018,631xx,Individual,Dec-2014,debt_consolidation
68,TX,42000.0,RENT,0.0,11.99,36.0,6000.0,Fully Paid,,787xx,Individual,Dec-2014,debt_consolidation
69,NM,48500.0,MORTGAGE,0.0,8.19,60.0,21000.0,Fully Paid,,881xx,Individual,Dec-2014,debt_consolidation
70,OH,117000.0,MORTGAGE,0.0,10.49,36.0,10000.0,Current,Jan-2018,439xx,Individual,Dec-2014,debt_consolidation
71,FL,60000.0,RENT,0.0,22.99,60.0,27525.0,Fully Paid,,333xx,Individual,Dec-2014,debt_consolidation
72,VA,42500.0,RENT,0.0,8.19,36.0,2400.0,Fully Paid,,232xx,Individual,Dec-2014,debt_consolidation
73,NY,82000.0,RENT,0.0,12.99,36.0,12000.0,Fully Paid,,130xx,Individual,Dec-2014,debt_consolidation
74,CA,40000.0,RENT,0.0,10.49,36.0,4600.0,Fully Paid,,900xx,Individual,Dec-2014,debt_consolidation
75,NY,60000.0,RENT,0.0,13.66,60.0,24000.0,Current,Jan-2018,117xx,Individual,Dec-2014,debt_consolidation
