id,dti,mort_acc,il_util,total_il_high_credit_limit,bc_util,all_util,tot_coll_amt,revol_util,total_rev_hi_lim,open_act_il,bc_open_to_buy,num_actv_rev_tl,num_bc_sats,delinq_amnt,open_acc,tot_cur_bal,num_actv_bc_tl,total_bc_limit,acc_now_delinq
0,12.03,0.0,,12000.0,4.7,,0.0,29.0,184500.0,,9525.0,4.0,1.0,0.0,6.0,149140.0,1.0,10000.0,0.0
1,14.92,1.0,,11325.0,41.5,,0.0,31.6,19400.0,,7599.0,9.0,7.0,0.0,17.0,162110.0,6.0,13000.0,0.0
2,18.49,0.0,,35573.0,97.8,,0.0,76.2,21500.0,,324.0,4.0,3.0,0.0,10.0,42315.0,3.0,15000.0,0.0
3,8.31,5.0,,18000.0,103.2,,0.0,100.9,5700.0,,0.0,5.0,3.0,0.0,8.0,261815.0,3.0,4400.0,0.0
4,34.81,0.0,,64031.0,93.2,,0.0,91.9,18300.0,,332.0,4.0,1.0,0.0,11.0,64426.0,1.0,4900.0,0.0
5,25.81,0.0,,24890.0,69.2,,0.0,59.4,27600.0,,6494.0,7.0,5.0,0.0,12.0,38566.0,4.0,21100.0,0.0
6,13.77,5.0,,47946.0,86.4,,0.0,94.3,24300.0,,1333.0,4.0,3.0,0.0,9.0,397223.0,3.0,9800.0,0.0
7,11.63,2.0,,33000.0,72.2,,0.0,60.4,12000.0,,2559.0,3.0,3.0,0.0,7.0,373743.0,2.0,9200.0,0.0
8,27.03,6.0,,78126.0,89.0,,0.0,82.2,39400.0,,3977.0,5.0,7.0,0.0,14.0,393558.0,3.0,36000.0,0.0
9,14.36,0.0,,6000.0,26.8,,0.0,20.2,22000.0,,12152.0,2.0,3.0,0.0,8.0,10133.0,2.0,16600.0,0.0
10,8.44,0.0,,0.0,98.5,,0.0,98.0,24200.0,,324.0,5.0,4.0,0.0,5.0,23723.0,4.0,21200.0,0.0
11,22.42,0.0,,27243.0,52.7,,900.0,33.1,15700.0,,2604.0,8.0,3.0,0.0,11.0,17281.0,3.0,5500.0,0.0
12,23.63,2.0,,41370.0,98.2,,0.0,46.4,10900.0,,71.0,3.0,1.0,0.0,7.0,122193.0,1.0,4000.0,0.0
13,29.5,1.0,,55441.0,91.0,,0.0,88.6,18000.0,,1468.0,4.0,3.0,0.0,14.0,262274.0,3.0,16300.0,0.0
14,6.87,5.0,,0.0,95.4,,0.0,82.6,60100.0,,1092.0,8.0,4.0,0.0,11.0,361379.0,4.0,23600.0,0.0
15,22.14,0.0,,12000.0,72.2,,0.0,62.4,15300.0,,3636.0,6.0,6.0,0.0,10.0,20539.0,5.0,13100.0,0.0
16,9.54,0.0,,18854.0,85.8,,0.0,42.6,11600.0,,552.0,3.0,2.0,0.0,7.0,22809.0,2.0,3900.0,0.0
17,16.19,0.0,,20637.0,90.2,,0.0,20.1,22500.0,,390.0,2.0,1.0,0.0,9.0,19342.0,1.0,4000.0,0.0
18,5.98,0.0,,3900.0,65.4,,0.0,74.2,3000.0,,346.0,2.0,1.0,0.0,3.0,3943.0,1.0,1000.0,0.0
19,16.23,0.0,,22013.0,98.6,,0.0,51.9,4800.0,,29.0,4.0,1.0,0.0,8.0,18480.0,1.0,2100.0,0.0
20,18.79,1.0,,67220.0,22.0,,3948.0,18.8,27200.0,,15435.0,2.0,5.0,0.0,11.0,157993.0,1.0,19800.0,0.0
21,35.68,0.0,,42304.0,66.1,,0.0,50.7,45600.0,,9800.0,8.0,6.0,0.0,13.0,49685.0,6.0,28900.0,0.0
22,18.38,1.0,,154033.0,98.0,,0.0,55.0,17400.0,,112.0,5.0,1.0,0.0,17.0,296389.0,1.0,5500.0,0.0
23,14.99,0.0,,0.0,92.5,,0.0,67.4,10300.0,,452.0,6.0,6.0,0.0,11.0,6941.0,5.0,6000.0,0.0
24,9.11,3.0,,0.0,52.3,,0.0,52.3,31800.0,,15156.0,4.0,4.0,0.0,6.0,111500.0,4.0,31800.0,0.0
25,5.46,1.0,,0.0,1.8,,944.0,1.9,39600.0,,31122.0,4.0,10.0,0.0,14.0,744.0,3.0,31700.0,0.0
26,18.89,3.0,,47457.0,89.2,,0.0,77.4,13200.0,,1049.0,6.0,4.0,0.0,19.0,125993.0,4.0,9700.0,0.0
27,23.37,2.0,,119491.0,93.0,,0.0,87.0,6800.0,,1267.0,6.0,3.0,0.0,11.0,237795.0,3.0,3800.0,0.0
28,16.13,2.0,,28532.0,46.3,,0.0,35.2,41700.0,,17016.0,4.0,8.0,0.0,15.0,239362.0,4.0,31700.0,0.0
29,33.99,0.0,,48555.0,93.0,,0.0,65.5,8700.0,,321.0,5.0,3.0,0.0,12.0,36589.0,3.0,4600.0,0.0
30,17.53,1.0,,14857.0,25.5,,0.0,57.5,21700.0,,7602.0,5.0,3.0,0.0,8.0,118238.0,3.0,10200.0,0.0
31,14.35,4.0,,112735.0,,,841.0,8.8,5300.0,,,2.0,0.0,0.0,9.0,103332.0,0.0,0.0,0.0
32,11.51,2.0,,14507.0,55.5,,0.0,30.9,37400.0,,7209.0,4.0,2.0,0.0,10.0,91133.0,2.0,16200.0,0.0
33,17.71,2.0,,58501.0,69.9,,0.0,81.5,1300.0,,241.0,3.0,2.0,0.0,6.0,51161.0,2.0,800.0,0.0
34,19.73,1.0,,47305.0,,,0.0,69.5,6600.0,,,2.0,0.0,0.0,10.0,80333.0,0.0,0.0,0.0
35,15.02,0.0,,3535.0,37.1,,0.0,37.1,29800.0,,14906.0,5.0,5.0,0.0,9.0,14539.0,3.0,23700.0,0.0
36,19.21,2.0,,49956.0,94.3,,0.0,94.3,6500.0,,369.0,1.0,1.0,0.0,5.0,428849.0,1.0,6500.0,0.0
37,11.91,1.0,,28301.0,99.2,,0.0,99.2,10800.0,,91.0,3.0,3.0,0.0,6.0,355328.0,3.0,10800.0,0.0
38,15.36,4.0,,10919.0,45.5,,0.0,35.0,65400.0,,27119.0,6.0,4.0,0.0,10.0,221998.0,3.0,49800.0,0.0
39,14.67,5.0,,219511.0,66.4,,0.0,66.4,16800.0,,5644.0,9.0,11.0,0.0,25.0,420006.0,9.0,16800.0,0.0
40,34.1,2.0,,80336.0,51.0,,0.0,51.9,18700.0,,8471.0,2.0,2.0,0.0,11.0,253854.0,1.0,17300.0,1.0
41,15.55,0.0,,21940.0,18.3,,259.0,15.0,19500.0,,12984.0,2.0,3.0,0.0,7.0,18002.0,2.0,15900.0,0.0
42,26.06,0.0,,20128.0,27.4,,0.0,26.3,21000.0,,13074.0,3.0,4.0,0.0,7.0,15894.0,2.0,18000.0,0.0
43,11.05,3.0,,0.0,52.8,,0.0,48.1,7500.0,,2169.0,5.0,3.0,0.0,7.0,3605.0,3.0,4600.0,0.0
44,15.93,0.0,,24918.0,94.8,,0.0,94.8,4200.0,,219.0,2.0,2.0,0.0,4.0,23372.0,2.0,4200.0,0.0
45,12.83,3.0,,23374.0,76.1,,0.0,37.9,38900.0,,4156.0,6.0,5.0,0.0,15.0,209346.0,3.0,17400.0,0.0
46,11.97,3.0,,28856.0,79.2,,0.0,79.2,15000.0,,3127.0,1.0,1.0,0.0,5.0,128450.0,1.0,15000.0,0.0
47,22.33,6.0,,63467.0,68.3,,0.0,43.9,74700.0,,12118.0,8.0,8.0,0.0,24.0,256696.0,5.0,38200.0,0.0
48,24.36,0.0,,81301.0,93.6,,0.0,89.4,11200.0,,683.0,2.0,2.0,0.0,7.0,81956.0,2.0,10700.0,0.0
49,21.73,1.0,,76085.0,58.1,,0.0,59.8,82800.0,,31116.0,5.0,3.0,0.0,8.0,101094.0,3.0,74300.0,0.0
50,20.21,1.0,,46173.0,92.7,,0.0,92.9,13000.0,,914.0,4.0,3.0,0.0,7.0,46563.0,3.0,12500.0,0.0
51,25.96,0.0,,324790.0,96.1,,0.0,94.2,15300.0,,589.0,4.0,5.0,0.0,9.0,312679.0,4.0,15000.0,0.0
52,21.3,1.0,,47162.0,49.1,,0.0,33.1,15900.0,,1222.0,6.0,2.0,0.0,12.0,59352.0,1.0,2400.0,0.0
53,13.47,0.0,,5725.0,48.4,,0.0,39.9,26500.0,,8970.0,7.0,9.0,0.0,20.0,15659.0,4.0,17400.0,0.0
54,24.45,0.0,,18972.0,73.1,,351.0,46.1,16200.0,,1074.0,5.0,3.0,0.0,8.0,18342.0,2.0,4000.0,0.0
55,8.54,0.0,,53750.0,91.3,,0.0,82.5,12600.0,,741.0,3.0,2.0,0.0,18.0,69669.0,2.0,8500.0,0.0
56,29.55,3.0,,14861.0,58.4,,0.0,51.3,85000.0,,22878.0,11.0,6.0,0.0,14.0,97410.0,6.0,55000.0,0.0
57,26.2,2.0,,17712.0,61.0,,0.0,61.6,71500.0,,18202.0,11.0,6.0,0.0,22.0,58232.0,4.0,46700.0,0.0
58,28.78,0.0,,40742.0,48.6,,0.0,41.1,33700.0,,11458.0,5.0,4.0,0.0,12.0,47115.0,2.0,22300.0,0.0
59,24.7,2.0,,129708.0,90.6,,0.0,90.6,10000.0,,802.0,1.0,1.0,0.0,5.0,296631.0,1.0,8500.0,0.0
60,20.79,4.0,,63135.0,32.0,,0.0,33.0,6450.0,,5400.0,2.0,9.0,0.0,4.0,50550.0,1.0,5400.0,0.0
61,28.77,0.0,,12439.0,90.1,,5098.0,45.0,27800.0,,890.0,7.0,2.0,0.0,18.0,24481.0,2.0,9000.0,0.0
62,9.21,6.0,,0.0,79.0,,400.0,70.7,40200.0,,6489.0,8.0,5.0,0.0,10.0,217506.0,5.0,30900.0,0.0
63,38.86,0.0,,61315.0,95.4,,0.0,94.2,10400.0,,403.0,4.0,3.0,0.0,17.0,53901.0,3.0,8800.0,0.0
64,33.66,4.0,,20168.0,81.4,,0.0,61.5,86100.0,,11767.0,14.0,10.0,0.0,22.0,311262.0,8.0,45800.0,0.0
65,19.33,3.0,,136117.0,92.8,,0.0,88.0,31400.0,,1906.0,8.0,7.0,0.0,14.0,255284.0,6.0,26400.0,0.0
66,29.38,5.0,,61464.0,87.7,,0.0,75.9,41300.0,,4190.0,6.0,5.0,0.0,12.0,625455.0,4.0,34000.0,0.0
67,23.78,0.0,,56526.0,91.1,,0.0,68.8,12000.0,,2768.0,5.0,3.0,0.0,8.0,59675.0,3.0,7000.0,0.0
68,11.03,0.0,,81905.0,54.3,,0.0,50.7,23800.0,,10144.0,2.0,4.0,0.0,17.0,94814.0,2.0,22200.0,0.0
69,12.99,3.0,,15050.0,19.9,,0.0,19.9,42900.0,,34351.0,4.0,5.0,0.0,8.0,62365.0,4.0,42900.0,0.0
70,25.65,3.0,,126554.0,60.2,,670.0,60.2,6200.0,,2465.0,5.0,5.0,0.0,11.0,399159.0,5.0,6200.0,0.0
71,31.14,0.0,,53865.0,18.0,,0.0,13.4,66500.0,,40256.0,6.0,8.0,0.0,17.0,59623.0,4.0,49100.0,0.0
72,33.21,0.0,,62765.0,55.8,,0.0,46.0,41400.0,,13248.0,4.0,2.0,0.0,10.0,66967.0,2.0,30000.0,0.0
73,15.1,0.0,,34516.0,76.7,,0.0,65.5,11900.0,,2353.0,5.0,5.0,0.0,12.0,37313.0,4.0,10100.0,0.0
74,29.33,0.0,,17020.0,52.8,,6449.0,56.5,13400.0,,3255.0,7.0,3.0,0.0,13.0,25659.0,3.0,6900.0,0.0
75,33.62,0.0,,73953.0,68.4,,0.0,53.0,40400.0,,6422.0,10.0,10.0,0.0,27.0,86634.0,7.0,20300.0,0.0
76,23.45,0.0,,78541.0,23.8,,0.0,28.2,20300.0,,8986.0,5.0,3.0,0.0,8.0,77421.0,3.0,11800.0,0.0
77,13.86,3.0,,0.0,45.4,,0.0,42.0,46800.0,,17630.0,8.0,5.0,0.0,10.0,19657.0,4.0,32300.0,0.0
78,15.23,1.0,,72576.0,44.3,,0.0,38.1,80200.0,,37915.0,4.0,5.0,0.0,10.0,70136.0,3.0,68100.0,0.0
79,5.68,6.0,,0.0,40.4,,0.0,39.2,71400.0,,12402.0,4.0,4.0,0.0,8.0,174363.0,3.0,20800.0,0.0
80,24.69,8.0,,61692.0,96.5,,0.0,85.0,112400.0,,145.0,9.0,4.0,0.0,15.0,629294.0,4.0,7500.0,0.0
81,17.77,0.0,,10000.0,96.4,,0.0,96.4,13100.0,,474.0,4.0,4.0,0.0,5.0,19831.0,4.0,13100.0,0.0
82,33.2,0.0,,45392.0,30.0,,0.0,38.1,16800.0,,10013.0,5.0,6.0,0.0,11.0,46240.0,4.0,14300.0,0.0
