id,fico_range_high,sub_grade
0,754.0,C1
1,714.0,A3
2,689.0,D1
3,669.0,D4
4,689.0,C3
5,684.0,C3
6,689.0,B5
7,704.0,B4
8,669.0,C4
9,749.0,B4
10,679.0,B5
11,684.0,D5
12,679.0,C3
13,694.0,E5
14,664.0,B3
15,674.0,C5
16,684.0,B3
17,704.0,D2
18,684.0,C4
19,694.0,E3
20,689.0,C1
21,734.0,B3
22,709.0,C1
23,669.0,C5
24,714.0,B5
25,714.0,C2
26,679.0,B2
27,684.0,C4
28,714.0,B3
29,669.0,D2
30,704.0,E4
31,664.0,B3
32,719.0,A4
33,714.0,D3
34,694.0,B3
35,664.0,E3
36,689.0,B1
37,704.0,C1
38,779.0,B2
39,684.0,D1
40,674.0,C2
41,699.0,C1
42,734.0,D2
43,669.0,C3
44,684.0,C4
45,719.0,C4
46,684.0,A5
47,699.0,B3
48,719.0,B5
49,759.0,B2
50,674.0,C2
51,674.0,D4
52,779.0,A3
53,664.0,D3
54,669.0,C4
55,674.0,B4
56,704.0,B5
57,689.0,B4
58,709.0,D5
59,744.0,B5
60,729.0,C1
61,664.0,C5
62,679.0,C1
63,674.0,C5
64,684.0,C5
65,694.0,C5
66,684.0,E5
67,664.0,D3
68,699.0,B5
69,794.0,A5
70,714.0,B3
71,769.0,F1
72,769.0,A5
73,674.0,C2
74,664.0,B3
75,694.0,C3
76,709.0,B3
77,724.0,D2
78,759.0,B2
79,709.0,C2
80,729.0,B2
81,674.0,E1
82,699.0,C3
83,694.0,B4
84,709.0,D5
85,694.0,B2
86,689.0,A5
87,724.0,C5
88,694.0,B3
89,739.0,E4
90,679.0,D4
91,724.0,D5
92,754.0,E2
93,679.0,D2
94,664.0,C1
95,699.0,D4
96,719.0,C3
97,674.0,C4
98,734.0,A3
99,709.0,B4
100,679.0,B5
101,664.0,B2
102,734.0,A5
103,729.0,D2
104,679.0,B4
105,699.0,C1
106,664.0,C2
107,694.0,C5
108,694.0,C3
109,714.0,C4
110,674.0,E1
111,669.0,C1
112,679.0,C1
113,684.0,C3
114,674.0,D1
115,664.0,G2
116,704.0,E1
117,669.0,D2
118,674.0,C1
119,704.0,D3
120,714.0,D3
121,674.0,C4
122,734.0,B1
123,674.0,C5
124,694.0,B3
125,689.0,C2
126,714.0,B5
127,704.0,B4
128,689.0,E1
129,684.0,D5
130,714.0,A5
131,709.0,A3
132,749.0,B4
133,664.0,D3
134,689.0,B5
135,674.0,B2
136,684.0,C1
137,674.0,B3
138,674.0,G1
139,679.0,F3
140,669.0,D5
141,664.0,D1
142,669.0,C2
143,689.0,A5
144,674.0,C1
145,664.0,D1
146,674.0,D5
147,684.0,D4
148,699.0,C5
149,674.0,B4
150,704.0,C1
151,759.0,B2
152,684.0,F2
153,694.0,C3
154,679.0,D2
155,684.0,B3
156,664.0,E1
157,739.0,B3
158,674.0,D2
159,669.0,E2
160,684.0,D4
161,704.0,C4
162,744.0,C1
163,734.0,A3
164,664.0,B5
165,684.0,C4
166,699.0,C3
167,669.0,D1
168,724.0,A1
169,749.0,E1
170,684.0,D3
171,669.0,C1
172,704.0,B1
173,734.0,B3
174,689.0,E1
175,709.0,A5
176,714.0,E1
177,674.0,B4
178,789.0,A1
179,729.0,A2
180,709.0,D4
181,684.0,D1
182,694.0,E2
183,724.0,B5
184,794.0,C2
185,704.0,E2
186,779.0,B3
187,714.0,F2
188,684.0,C5
189,669.0,B2
190,724.0,D1
191,724.0,B1
192,694.0,C5
193,694.0,D4
194,719.0,B3
195,699.0,D2
196,669.0,B5
197,699.0,C4
198,669.0,C5
199,674.0,D1
200,674.0,B5
201,699.0,B3
202,694.0,E2
203,679.0,C1
204,664.0,G3
205,744.0,B2
206,709.0,E1
207,684.0,C2
208,669.0,C3
209,699.0,B4
210,709.0,B1
211,744.0,B2
212,689.0,C1
213,699.0,E1
214,704.0,C3
215,664.0,C3
216,734.0,A3
217,694.0,C4
218,704.0,A3
219,679.0,C5
220,679.0,B4
221,674.0,D5
222,704.0,D1
223,699.0,C3
224,674.0,D5
225,699.0,B1
226,704.0,E1
227,664.0,D4
228,694.0,D3
229,714.0,G1
230,684.0,C2
231,679.0,D3
232,689.0,C3
233,709.0,A3
234,689.0,C3
235,674.0,D5
236,709.0,B5
237,724.0,E1
238,754.0,A4
239,669.0,E3
240,689.0,C5
241,699.0,D1
242,679.0,C1
243,694.0,D5
244,679.0,A5
245,689.0,D2
246,684.0,C4
247,674.0,D1
248,669.0,B4
249,689.0,F1
250,674.0,D2
251,719.0,C1
252,679.0,C2
253,774.0,E3
254,664.0,C2
255,669.0,C4
256,719.0,E1
257,729.0,A3
258,664.0,C5
259,719.0,A4
260,724.0,B5
261,739.0,F1
262,789.0,B4
263,679.0,C1
264,739.0,A5
265,689.0,B4
266,729.0,B5
267,674.0,C3
268,669.0,C2
269,689.0,B5
270,699.0,B5
271,674.0,D5
272,679.0,B3
273,754.0,A4
274,679.0,E5
275,704.0,B3
276,709.0,B1
277,674.0,C4
278,719.0,C5
279,689.0,B3
280,664.0,C2
281,669.0,C2
282,769.0,C1
283,669.0,C1
284,674.0,C4
285,669.0,B4
286,699.0,E2
287,734.0,B4
288,684.0,C1
289,714.0,E1
290,689.0,C1
291,679.0,C5
292,669.0,C1
293,704.0,C4
294,664.0,C2
295,709.0,B4
296,669.0,C3
297,734.0,D3
298,674.0,C4
299,664.0,B3
300,709.0,B5
301,669.0,D1
302,689.0,B4
303,709.0,C5
304,759.0,B4
305,669.0,C5
306,699.0,C1
307,679.0,C3
308,709.0,C2
309,679.0,C1
310,689.0,D3
311,669.0,E1
312,719.0,A1
313,689.0,C2
314,679.0,D1
315,744.0,B5
316,699.0,B4
317,724.0,C3
318,679.0,C2
319,669.0,B5
320,674.0,D3
321,714.0,C4
322,714.0,B3
323,679.0,C3
324,699.0,C1
325,704.0,C3
326,699.0,B1
327,709.0,B1
328,699.0,A4
329,719.0,B2
330,684.0,C1
331,679.0,D5
332,669.0,B1
333,759.0,B3
334,674.0,B1
335,684.0,C4
336,719.0,D4
337,674.0,C3
338,674.0,E1
339,684.0,C3
340,679.0,B5
341,664.0,C1
342,714.0,B2
343,664.0,A5
344,669.0,B2
345,664.0,F1
346,679.0,C2
347,714.0,A3
348,729.0,C1
349,804.0,A2
350,684.0,B3
351,664.0,B4
352,674.0,B1
353,664.0,C4
354,674.0,C2
355,734.0,B1
356,664.0,B1
357,744.0,D4
358,664.0,C2
359,669.0,B2
360,684.0,D1
361,684.0,E5
362,734.0,B1
363,669.0,B4
364,689.0,B4
365,674.0,C1
366,679.0,B1
367,689.0,C4
368,684.0,A5
369,664.0,C4
370,799.0,B1
371,689.0,B2
372,739.0,B1
373,734.0,B5
374,679.0,E4
375,684.0,C4
376,699.0,C1
377,664.0,C4
378,664.0,B4
379,709.0,D4
380,694.0,C4
381,699.0,A5
382,664.0,B3
383,714.0,E4
384,669.0,C1
385,734.0,C1
386,724.0,D4
387,719.0,C5
388,694.0,C5
389,674.0,B1
390,739.0,A1
391,689.0,A5
392,664.0,C1
393,724.0,B5
394,704.0,B1
395,664.0,D4
396,669.0,D5
397,674.0,D4
398,719.0,A4
399,664.0,D1
400,669.0,D2
401,664.0,E2
402,694.0,C3
403,714.0,B3
404,719.0,B4
405,709.0,B1
406,664.0,D1
407,669.0,D1
408,704.0,C2
409,764.0,A1
410,714.0,A4
411,739.0,A2
412,664.0,C4
413,734.0,C1
414,709.0,C1
415,834.0,A5
416,729.0,B1
417,679.0,D3
418,669.0,D2
419,674.0,E3
420,679.0,B4
421,669.0,C4
422,664.0,B3
423,679.0,D4
424,724.0,A2
425,714.0,C1
426,764.0,A2
427,669.0,E4
428,704.0,B5
429,669.0,E1
430,664.0,A4
431,674.0,E5
432,674.0,C4
433,689.0,C2
434,669.0,B1
435,679.0,B3
436,679.0,C2
437,704.0,C1
438,664.0,E5
