id,acc_open_past_24mths,mo_sin_old_il_acct,mo_sin_rcnt_tl,open_acc_6m,mths_since_rcnt_il,chargeoff_within_12_mths,collections_12_mths_ex_med,delinq_2yrs,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,open_il_12m,open_il_24m,avg_cur_bal,percent_bc_gt_75,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,open_rv_12m,open_rv_24m,earliest_cr_line
0,5.0,103.0,1.0,,,0.0,0.0,0.0,244.0,1.0,,,29828.0,0.0,0.0,0.0,0.0,4.0,,,Aug-1994
1,7.0,76.0,1.0,,,0.0,0.0,0.0,290.0,1.0,,,9536.0,14.3,0.0,0.0,0.0,4.0,,,Sep-1989
2,4.0,135.0,7.0,,,0.0,0.0,0.0,136.0,7.0,,,4232.0,100.0,0.0,0.0,0.0,2.0,,,Aug-2003
3,2.0,16.0,16.0,,,0.0,0.0,1.0,170.0,21.0,,,32727.0,100.0,0.0,0.0,0.0,0.0,,,Oct-2000
4,6.0,137.0,8.0,,,0.0,0.0,0.0,148.0,8.0,,,5857.0,100.0,0.0,0.0,0.0,2.0,,,Aug-2002
5,8.0,183.0,3.0,,,0.0,0.0,0.0,265.0,23.0,,,3214.0,60.0,0.0,0.0,0.0,3.0,,,Nov-1992
6,6.0,158.0,6.0,,,0.0,0.0,0.0,148.0,24.0,,,44136.0,66.7,0.0,0.0,0.0,1.0,,,Oct-2001
7,3.0,121.0,17.0,,,0.0,0.0,1.0,133.0,17.0,,,53392.0,66.7,0.0,0.0,0.0,0.0,,,Nov-2003
8,6.0,132.0,12.0,,,0.0,0.0,1.0,194.0,15.0,,,39356.0,66.7,0.0,0.0,0.0,1.0,,,Oct-1998
9,4.0,33.0,6.0,,,0.0,0.0,0.0,67.0,12.0,,,1267.0,0.0,0.0,0.0,0.0,2.0,,,May-2009
10,0.0,137.0,31.0,,,0.0,0.0,0.0,124.0,40.0,,,4745.0,100.0,0.0,0.0,0.0,0.0,,,Jul-2003
11,7.0,191.0,2.0,,,0.0,0.0,0.0,122.0,2.0,,,1571.0,0.0,0.0,0.0,0.0,4.0,,,Jan-1999
12,2.0,93.0,10.0,,,0.0,0.0,0.0,167.0,21.0,,,17456.0,100.0,0.0,0.0,0.0,1.0,,,Jan-2001
13,0.0,160.0,30.0,,,0.0,0.0,0.0,205.0,30.0,,,20175.0,100.0,0.0,0.0,0.0,0.0,,,Nov-1987
14,5.0,129.0,14.0,,,0.0,0.0,3.0,305.0,15.0,,,40153.0,100.0,0.0,0.0,0.0,0.0,,,Jul-1989
15,6.0,27.0,4.0,,,0.0,0.0,0.0,219.0,8.0,,,2054.0,83.3,0.0,0.0,0.0,4.0,,,Sep-1996
16,2.0,234.0,3.0,,,0.0,0.0,0.0,138.0,27.0,,,3258.0,100.0,0.0,0.0,0.0,1.0,,,Jun-1995
17,6.0,136.0,3.0,,,0.0,0.0,2.0,252.0,3.0,,,2149.0,100.0,0.0,0.0,0.0,3.0,,,Dec-1993
18,3.0,55.0,3.0,,,0.0,0.0,0.0,58.0,3.0,,,1314.0,0.0,0.0,0.0,0.0,1.0,,,Feb-2010
19,4.0,89.0,1.0,,,0.0,0.0,0.0,52.0,1.0,,,2310.0,100.0,0.0,0.0,0.0,4.0,,,Jul-2007
20,6.0,76.0,5.0,,,0.0,0.0,0.0,102.0,10.0,,,15799.0,25.0,0.0,0.0,0.0,3.0,,,Jun-2006
21,3.0,79.0,13.0,,,0.0,0.0,0.0,181.0,13.0,,,3822.0,50.0,0.0,0.0,0.0,0.0,,,Nov-1999
22,4.0,131.0,5.0,,,0.0,0.0,0.0,155.0,5.0,,,21171.0,100.0,0.0,0.0,0.0,3.0,,,Jan-2002
23,6.0,108.0,4.0,,,0.0,0.0,0.0,148.0,4.0,,,992.0,100.0,0.0,0.0,0.0,2.0,,,Aug-2002
24,2.0,,8.0,,,0.0,0.0,0.0,162.0,8.0,,,18583.0,25.0,0.0,0.0,0.0,1.0,,,Jun-2001
25,3.0,39.0,18.0,,,0.0,0.0,0.0,150.0,18.0,,,57.0,0.0,0.0,0.0,0.0,0.0,,,Nov-1998
26,10.0,92.0,1.0,,,0.0,0.0,0.0,90.0,30.0,,,6631.0,75.0,0.0,0.0,0.0,6.0,,,Apr-2007
27,8.0,141.0,6.0,,,0.0,0.0,0.0,100.0,12.0,,,23779.0,66.7,,0.0,0.0,3.0,,,Mar-2003
28,5.0,181.0,1.0,,,0.0,0.0,0.0,244.0,1.0,,,21760.0,14.3,0.0,0.0,0.0,1.0,,,Aug-1994
29,7.0,92.0,6.0,,,0.0,0.0,0.0,153.0,12.0,,,3049.0,100.0,0.0,0.0,0.0,3.0,,,Mar-2002
30,7.0,44.0,3.0,,,0.0,0.0,0.0,109.0,12.0,,,14780.0,66.7,0.0,0.0,0.0,2.0,,,Nov-2005
31,5.0,137.0,1.0,,,0.0,0.0,0.0,161.0,1.0,,,11481.0,,0.0,0.0,0.0,2.0,,,Jul-2001
32,5.0,170.0,3.0,,,0.0,0.0,0.0,78.0,3.0,,,9113.0,0.0,0.0,0.0,0.0,3.0,,,Oct-2000
33,3.0,122.0,3.0,,,0.0,0.0,0.0,143.0,86.0,,,8527.0,50.0,0.0,0.0,0.0,3.0,,,Jan-2003
34,12.0,125.0,1.0,,,0.0,0.0,0.0,127.0,14.0,,,8926.0,,0.0,0.0,0.0,5.0,,,Mar-2003
35,8.0,96.0,1.0,,,0.0,0.0,0.0,42.0,6.0,,,1615.0,20.0,0.0,0.0,0.0,5.0,,,Dec-2006
36,3.0,219.0,3.0,,,0.0,0.0,0.0,163.0,49.0,,,85770.0,100.0,0.0,0.0,0.0,3.0,,,Sep-1996
37,3.0,88.0,14.0,,,0.0,0.0,0.0,89.0,14.0,,,59221.0,100.0,0.0,0.0,0.0,0.0,,,Jul-2007
38,1.0,164.0,20.0,,,0.0,0.0,0.0,399.0,32.0,,,22200.0,25.0,0.0,0.0,0.0,0.0,,,Sep-1981
39,3.0,228.0,5.0,,,0.0,0.0,0.0,115.0,5.0,,,16800.0,36.4,0.0,0.0,0.0,2.0,,,Dec-1995
40,3.0,171.0,12.0,,,1.0,0.0,2.0,126.0,18.0,,,25385.0,50.0,0.0,0.0,1.0,1.0,,,Sep-2000
41,3.0,36.0,6.0,,,0.0,0.0,1.0,273.0,20.0,,,3000.0,50.0,0.0,0.0,0.0,1.0,,,Mar-1992
42,3.0,4.0,4.0,,,0.0,0.0,0.0,45.0,9.0,,,2271.0,0.0,0.0,0.0,0.0,2.0,,,Mar-2011
43,6.0,118.0,9.0,,,0.0,0.0,0.0,129.0,10.0,,,515.0,33.3,0.0,0.0,0.0,2.0,,,Mar-2004
44,3.0,86.0,4.0,,,0.0,0.0,0.0,26.0,4.0,,,5843.0,100.0,0.0,0.0,0.0,2.0,,,Oct-2007
45,9.0,81.0,3.0,,,0.0,0.0,0.0,101.0,3.0,,,13956.0,20.0,0.0,0.0,0.0,3.0,,,Aug-2000
46,2.0,128.0,7.0,,,0.0,0.0,0.0,145.0,43.0,,,32113.0,100.0,0.0,0.0,0.0,1.0,,,Jul-2002
